-376,-39,-85,2451593
-384,-47,-87,2451593
-376,-32,-92,2451594
-381,-47,-88,2451595
-395,-48,-84,2451596
-393,-13,-71,2451597
-380,-3,-71,2451598
-376,-41,-84,2451599
-382,-41,-88,2451600
-391,-40,-96,2451601
-386,-34,-81,2451604
-388,-35,-68,2451604
-388,-37,-71,2451605
-379,-31,-83,2451606
-388,-30,-90,2451607
-381,-23,-91,2451608
-381,-35,-92,2451609
-378,-38,-90,2451610
-381,-42,-78,2451611
-378,-37,-73,2451612
-387,-44,-78,2451615
-391,-54,-84,2451615
-382,-51,-86,2451616
-384,-48,-70,2451617
-389,-34,-66,2451618
-388,-36,-73,2451619
-376,-44,-79,2451620
-370,-43,-89,2451621
-379,-47,-90,2451622
-371,-29,-90,2451623
-388,-24,-79,2451626
-387,-31,-83,2451626
-378,-34,-79,2451627
-376,-39,-91,2451628
-370,-34,-93,2451629
-357,-39,-96,2451630
-376,-49,-84,2451631
-383,-42,-88,2451632
-384,-39,-88,2451633
-376,-30,-86,2451634
-383,-36,-89,2451637
-384,-45,-97,2451637
-377,-36,-93,2451638
-381,-57,-87,2451639
-385,-49,-80,2451640
-382,-40,-84,2451641
-382,-31,-87,2451642
-379,-32,-97,2451643
-382,-45,-96,2451644
-380,-46,-95,2451645
-381,-33,-92,2451648
-382,-32,-97,2451648
-386,-43,-90,2451649
-379,-42,-77,2451650
-377,-34,-80,2451651
-383,-41,-82,2451652
-381,-38,-87,2451653
-382,-47,-94,2451654
-383,-41,-85,2451655
-382,-50,-78,2451656
-379,-45,-104,2451659
-386,-35,-105,2451659
-374,-36,-103,2451660
-377,-38,-83,2451661
-391,-41,-76,2451662
-389,-43,-84,2451663
-381,-43,-89,2451664
-382,-45,-85,2451665
-380,-50,-82,2451666
-382,-47,-82,2451667
-378,-27,-80,2451670
-381,-32,-83,2451670
-382,-42,-76,2451671
-376,-38,-84,2451672
-378,-32,-87,2451673
-384,-28,-92,2451674
-387,-31,-85,2451675
-384,-37,-91,2451676
-375,-43,-93,2451677
-376,-38,-86,2451678
-381,-39,-81,2451681
-383,-28,-82,2451681
-379,-27,-91,2451682
-369,-38,-87,2451683
-380,-45,-82,2451684
-384,-47,-89,2451685
-378,-40,-87,2451686
-382,-57,-89,2451687
-380,-42,-82,2451688
-377,-36,-77,2451689
-378,-52,-102,2451692
-382,-47,-102,2451692
-385,-44,-88,2451693
-380,-42,-71,2451694
-374,-40,-79,2451695
-374,-30,-76,2451696
-374,-26,-82,2451697
-383,-28,-89,2451698
-393,-30,-91,2451699
-385,-32,-85,2451700
-381,-33,-87,2451703
-377,-33,-86,2451703
-385,-44,-84,2451704
-380,-35,-90,2451705
-384,-48,-99,2451706
-381,-38,-88,2451707
-386,-42,-84,2451708
-381,-31,-77,2451709
-369,-36,-78,2451710
-373,-31,-89,2451711
-366,-43,-86,2451714
-371,-44,-81,2451714
-376,-33,-81,2451715
-389,-41,-77,2451716
-383,-32,-78,2451717
-375,-32,-81,2451718
-376,-41,-76,2451719
-391,-44,-76,2451720
-398,-31,-84,2451721
-392,-34,-88,2451722
-375,-33,-86,2451725
-375,-36,-88,2451725
-383,-40,-90,2451726
-391,-55,-81,2451727
-383,-33,-83,2451728
-369,-19,-91,2451729
-366,-28,-91,2451730
-366,-37,-83,2451731
-374,-50,-87,2451732
-383,-31,-88,2451733
-379,-40,-89,2451736
-380,-47,-91,2451736
-381,-40,-85,2451737
-383,-32,-90,2451738
-399,-32,-80,2451739
-401,-38,-74,2451740
-385,-32,-81,2451741
-383,-38,-83,2451742
-382,-28,-69,2451743
-390,-33,-64,2451744
-370,-43,-94,2451747
-377,-49,-98,2451747
-382,-46,-89,2451748
-382,-46,-84,2451749
-376,-24,-82,2451750
-387,-51,-86,2451751
-398,-59,-87,2451752
-402,-28,-81,2451753
-382,-8,-81,2451754
-383,-26,-82,2451755
-386,-49,-90,2451758
-379,-34,-86,2451758
-380,-40,-80,2451759
-378,-29,-77,2451760
-382,-34,-74,2451761
-374,-39,-78,2451762
-368,-49,-81,2451763
-380,-45,-70,2451764
-377,-38,-68,2451765
-377,-30,-73,2451766
-383,-37,-89,2451769
-379,-34,-88,2451769
-388,-43,-88,2451770
-380,-36,-84,2451771
-382,-38,-85,2451772
-376,-37,-81,2451773
-376,-48,-80,2451774
-389,-39,-88,2451775
-391,-43,-96,2451776
-381,-48,-88,2451779
-381,-35,-96,2451781
-383,-31,-95,2451781
-379,-23,-98,2451782
-388,-34,-91,2451783
-383,-41,-93,2451784
-384,-46,-96,2451785
-383,-42,-86,2451786
-384,-42,-81,2451787
-388,-32,-88,2451788
-392,-35,-92,2451789
-378,-38,-87,2451792
-376,-42,-92,2451792
-378,-46,-94,2451793
-367,-29,-87,2451794
-368,-35,-78,2451795
-370,-24,-76,2451796
-380,-31,-75,2451797
-384,-39,-75,2451798
-385,-40,-85,2451799
-388,-26,-87,2451800
-374,-36,-76,2451803
-371,-39,-78,2451803
-376,-39,-84,2451804
-378,-47,-89,2451805
-381,-42,-85,2451806
-370,-29,-89,2451807
-383,-37,-88,2451808
-390,-40,-94,2451809
-384,-33,-90,2451810
-382,-27,-85,2451811
-377,-32,-75,2451814
-374,-29,-73,2451814
-373,-26,-79,2451815
-384,-40,-76,2451816
-375,-39,-73,2451817
-387,-38,-76,2451818
-386,-31,-87,2451819
-379,-39,-80,2451820
-376,-31,-67,2451821
-388,-39,-77,2451822
-388,-33,-84,2451825
-380,-31,-84,2451825
-377,-40,-90,2451826
-391,-45,-86,2451827
-389,-40,-84,2451828
-382,-34,-86,2451829
-380,-37,-83,2451830
-382,-26,-83,2451831
-377,-32,-81,2451832
-375,-33,-85,2451833
-379,-22,-85,2451836
-376,-31,-88,2451836
-373,-38,-82,2451837
-373,-38,-89,2451838
-375,-36,-93,2451839
-372,-37,-96,2451840
-378,-45,-91,2451841
-385,-49,-92,2451842
-380,-43,-85,2451843
-369,-45,-88,2451844
-386,-33,-86,2451847
-389,-30,-84,2451847
-383,-23,-89,2451848
-392,-42,-82,2451849
-391,-31,-88,2451850
-389,-50,-94,2451851
-395,-47,-82,2451852
-384,-48,-83,2451853
-385,-42,-87,2451854
-376,-27,-85,2451855
-378,-36,-88,2451858
-379,-41,-86,2451858
-384,-42,-87,2451859
-380,-44,-91,2451860
-377,-44,-77,2451861
-381,-52,-76,2451862
-382,-48,-76,2451863
-384,-41,-81,2451864
-376,-44,-87,2451865
-374,-52,-84,2451866
-388,-37,-79,2451869
-384,-42,-84,2451869
-383,-42,-87,2451870
-377,-29,-82,2451871
-384,-45,-78,2451872
-379,-43,-85,2451873
-375,-45,-81,2451874
-376,-25,-79,2451875
-381,-29,-89,2451876
-376,-26,-86,2451877
-383,-39,-80,2451880
-376,-37,-82,2451880
-377,-23,-80,2451881
-381,-22,-86,2451882
-387,-28,-89,2451883
-387,-39,-86,2451884
-388,-41,-82,2451885
-376,-35,-82,2451886
-383,-35,-83,2451887
-384,-32,-79,2451888
-380,-41,-83,2451891
-380,-37,-86,2451891
-373,-33,-84,2451892
-380,-37,-84,2451893
-387,-45,-82,2451894
-395,-57,-77,2451895
-392,-42,-80,2451896
-394,-43,-87,2451897
-385,-26,-88,2451898
-388,-41,-84,2451899
-382,-43,-81,2451902
-378,-38,-77,2451902
-385,-47,-70,2451903
-385,-46,-71,2451904
-378,-36,-88,2451905
-377,-35,-87,2451906
-370,-35,-88,2451907
-380,-44,-87,2451908
-380,-39,-82,2451909
-385,-45,-72,2451910
-389,-27,-83,2451913
-378,-31,-87,2451913
-379,-47,-84,2451914
-379,-28,-80,2451915
-383,-36,-81,2451916
-377,-36,-70,2451917
-384,-42,-76,2451918
-379,-40,-84,2451919
-376,-45,-95,2451920
-378,-33,-83,2451921
-381,-36,-86,2451924
-384,-49,-84,2451924
-390,-49,-80,2451925
-386,-44,-80,2451926
-388,-47,-79,2451927
-375,-33,-81,2451928
-377,-48,-91,2451929
-373,-43,-91,2451930
-386,-48,-78,2451931
-389,-31,-75,2451932
-373,-44,-81,2451935
-376,-49,-79,2451935
-385,-43,-79,2451936
-385,-33,-77,2451937
-381,-38,-84,2451938
-377,-43,-85,2451939
-381,-50,-92,2451940
-381,-33,-83,2451941
-385,-39,-74,2451942
-389,-32,-85,2451943
-374,-17,-90,2451946
-375,-32,-87,2451946
-375,-47,-80,2451947
-376,-59,-82,2451948
-376,-49,-86,2451949
-382,-42,-83,2451950
-393,-32,-72,2451951
-385,-38,-84,2451952
-393,-73,-91,2451953
-401,-50,-76,2451954
-381,-14,-79,2451957
-375,-37,-86,2451957
-378,-46,-89,2451958
-381,-49,-82,2451959
-381,-40,-84,2451960
-387,-41,-81,2451961
-383,-33,-84,2451962
-376,-34,-87,2451963
-369,-29,-82,2451964
-374,-41,-79,2451965
-387,-48,-85,2451968
-381,-46,-79,2451968
-380,-46,-86,2451969
-374,-44,-88,2451970
-376,-54,-85,2451971
-380,-39,-81,2451972
-380,-50,-79,2451973
-376,-38,-82,2451974
-368,-30,-83,2451975
-369,-28,-86,2451976
-389,-43,-87,2451979
-383,-37,-82,2451979
-375,-29,-84,2451980
-368,-25,-85,2451981
-380,-38,-81,2451982
-382,-40,-91,2451983
-381,-42,-91,2451984
-365,-47,-81,2451985
-376,-52,-82,2451986
-386,-31,-89,2451987
-389,-38,-84,2451990
-385,-49,-87,2451990
-380,-45,-89,2451991
-376,-29,-84,2451992
-371,-23,-80,2451993
-372,-42,-75,2451994
-379,-41,-76,2451995
-378,-42,-83,2451996
-384,-42,-73,2451997
-376,-33,-71,2451998
-377,-32,-81,2452001
-383,-33,-87,2452001
-380,-27,-88,2452002
-383,-31,-81,2452003
-379,-25,-83,2452004
-381,-50,-82,2452005
-396,-65,-83,2452006
-396,-36,-79,2452007
-381,-23,-85,2452008
-389,-35,-86,2452009
-384,-44,-90,2452012
-369,-46,-83,2452012
-374,-51,-83,2452013
-384,-31,-72,2452014
-388,-30,-77,2452015
-383,-28,-85,2452016
-385,-56,-85,2452017
-383,-59,-94,2452018
-374,-39,-99,2452019
-378,-24,-76,2452020
-377,-34,-78,2452023
-382,-35,-84,2452023
-378,-27,-87,2452024
-380,-38,-82,2452025
-387,-44,-78,2452026
-384,-38,-79,2452027
-378,-41,-85,2452028
-376,-33,-80,2452029
-387,-48,-84,2452030
-379,-40,-86,2452031
-381,-39,-83,2452034
-383,-35,-86,2452034
-385,-24,-86,2452035
-370,-31,-90,2452036
-378,-64,-91,2452037
-385,-47,-79,2452038
-382,-20,-73,2452039
-385,-30,-82,2452040
-382,-34,-90,2452041
-378,-44,-91,2452042
-366,-39,-99,2452045
-377,-41,-92,2452045
-384,-44,-82,2452046
-398,-46,-74,2452047
-389,-35,-65,2452048
-384,-33,-74,2452049
-381,-32,-80,2452050
-391,-45,-96,2452051
-376,-51,-102,2452052
-379,-55,-87,2452053
-386,-29,-73,2452056
-382,-37,-65,2452056
-384,-52,-81,2452057
-381,-43,-84,2452058
-375,-43,-78,2452059
-378,-31,-69,2452060
-386,-45,-79,2452061
-379,-33,-81,2452062
-376,-31,-71,2452063
-377,-27,-85,2452064
-395,-27,-86,2452067
-388,-31,-83,2452067
-372,-33,-93,2452068
-371,-34,-92,2452069
-384,-34,-85,2452070
-380,-39,-79,2452071
-387,-39,-80,2452072
-380,-40,-93,2452073
-383,-39,-99,2452074
-373,-33,-98,2452075
-380,-27,-82,2452078
-381,-35,-87,2452078
-372,-28,-84,2452079
-378,-40,-74,2452080
-384,-30,-74,2452081
-388,-42,-86,2452082
-374,-42,-91,2452083
-369,-43,-82,2452084
-374,-37,-82,2452085
-387,-42,-87,2452086
-381,-52,-102,2452089
-374,-44,-89,2452089
-365,-40,-82,2452090
-370,-29,-76,2452091
-372,-26,-81,2452092
-374,-39,-87,2452093
-376,-47,-85,2452094
-384,-34,-87,2452095
-388,-34,-98,2452096
-390,-31,-78,2452098
-380,-44,-83,2452100
-375,-46,-81,2452100
-380,-39,-82,2452101
-386,-29,-85,2452102
-385,-35,-81,2452103
-380,-37,-83,2452104
-383,-42,-90,2452105
-378,-49,-80,2452106
-380,-41,-75,2452107
-377,-29,-82,2452108
-378,-40,-91,2452111
-377,-59,-91,2452111
-385,-42,-86,2452112
-380,-38,-84,2452113
-378,-35,-74,2452114
-386,-35,-78,2452115
-391,-35,-79,2452116
-381,-43,-80,2452117
-382,-42,-68,2452118
-369,-38,-79,2452119
-393,-44,-81,2452122
-387,-33,-79,2452122
-378,-28,-82,2452123
-374,-34,-85,2452124
-382,-43,-85,2452125
-383,-35,-76,2452126
-385,-46,-84,2452127
-384,-46,-95,2452128
-380,-39,-100,2452129
-386,-37,-97,2452130
-388,-31,-84,2452133
-379,-35,-82,2452133
-379,-42,-85,2452134
-374,-47,-86,2452135
-380,-43,-83,2452136
-387,-35,-84,2452137
-384,-35,-90,2452138
-374,-23,-88,2452139
-375,-41,-88,2452140
-372,-30,-93,2452141
-389,-31,-78,2452144
-387,-37,-84,2452144
-381,-22,-85,2452145
-379,-29,-88,2452146
-381,-31,-75,2452147
-379,-52,-82,2452148
-378,-39,-89,2452149
-382,-31,-82,2452150
-390,-27,-80,2452151
-394,-34,-91,2452152
-381,-40,-87,2452155
-383,-45,-87,2452155
-378,-43,-88,2452156
-381,-44,-89,2452157
-378,-39,-82,2452158
-380,-39,-76,2452159
-377,-29,-79,2452160
-384,-31,-87,2452161
-378,-39,-83,2452162
-385,-46,-86,2452163
-379,-24,-79,2452166
-382,-24,-78,2452166
-387,-48,-86,2452167
-375,-45,-79,2452168
-377,-47,-82,2452169
-380,-36,-86,2452170
-389,-35,-86,2452171
-383,-39,-88,2452172
-374,-37,-83,2452173
-369,-28,-86,2452174
-388,-27,-79,2452177
-393,-46,-84,2452177
-380,-39,-79,2452178
-380,-49,-78,2452179
-384,-32,-86,2452180
