-384,-48,-78,1240262
-391,-43,-72,1240262
-385,-38,-70,1240263
-377,-31,-72,1240264
-376,-40,-73,1240265
-379,-40,-75,1240266
-378,-39,-79,1240267
-386,-39,-72,1240268
-382,-24,-77,1240269
-391,-33,-80,1240270
-376,-38,-83,1240273
-377,-32,-85,1240273
-386,-37,-76,1240274
-387,-23,-71,1240275
-386,-26,-71,1240276
-387,-31,-80,1240277
-394,-40,-93,1240278
-387,-33,-90,1240279
-383,-29,-81,1240280
-391,-41,-74,1240281
-383,-50,-85,1240284
-380,-40,-83,1240285
-384,-47,-78,1240285
-385,-36,-79,1240286
-391,-36,-82,1240287
-392,-35,-80,1240288
-390,-53,-78,1240289
-388,-49,-70,1240290
-383,-44,-72,1240292
-388,-38,-77,1240293
-383,-57,-74,1240295
-386,-58,-76,1240295
-389,-47,-81,1240296
-384,-38,-81,1240297
-386,-48,-82,1240298
-387,-47,-79,1240299
-389,-41,-75,1240300
-379,-29,-81,1240301
-381,-38,-81,1240302
-386,-38,-80,1240303
-378,-36,-70,1240306
-384,-40,-68,1240306
-393,-26,-80,1240308
-391,-28,-88,1240308
-376,-20,-84,1240309
-377,-32,-79,1240310
-376,-30,-76,1240311
-379,-41,-79,1240312
-387,-36,-76,1240313
-381,-27,-73,1240314
-372,-18,-82,1240317
-379,-33,-78,1240317
-379,-30,-80,1240318
-380,-31,-77,1240319
-375,-16,-77,1240320
-372,-36,-72,1240321
-379,-31,-79,1240322
-389,-41,-87,1240323
-388,-30,-89,1240324
-376,-33,-79,1240325
-379,-30,-80,1240328
-379,-29,-85,1240328
-369,-26,-78,1240329
-373,-42,-75,1240330
-372,-48,-80,1240331
-381,-52,-86,1240332
-379,-38,-82,1240333
-375,-48,-74,1240334
-381,-40,-82,1240335
-386,-47,-85,1240336
-372,-45,-74,1240339
-381,-43,-72,1240339
-386,-44,-70,1240340
-384,-40,-69,1240341
-375,-52,-77,1240342
-379,-57,-84,1240343
-386,-50,-90,1240344
-386,-56,-80,1240345
-377,-41,-76,1240346
-390,-53,-84,1240347
-379,-34,-83,1240350
-373,-35,-83,1240350
-378,-34,-84,1240351
-388,-36,-80,1240352
-388,-37,-81,1240353
-389,-35,-78,1240354
-388,-21,-79,1240355
-384,-18,-81,1240356
-382,-25,-78,1240357
-387,-46,-74,1240358
-385,-21,-82,1240361
-383,-11,-76,1240361
-389,-25,-81,1240362
-391,-35,-82,1240363
-387,-41,-76,1240364
-382,-32,-73,1240365
-381,-33,-85,1240366
-389,-38,-80,1240367
-381,-42,-76,1240368
-382,-39,-74,1240369
-394,-36,-79,1240372
-382,-39,-84,1240372
-382,-46,-85,1240373
-384,-37,-91,1240374
-384,-45,-88,1240375
-385,-35,-77,1240376
-385,-37,-82,1240377
-394,-56,-74,1240378
-398,-34,-65,1240379
-386,-20,-72,1240380
-374,-44,-87,1240383
-379,-54,-78,1240384
-383,-50,-73,1240384
-384,-53,-78,1240385
-375,-48,-76,1240386
-381,-58,-77,1240387
-382,-40,-82,1240388
-383,-42,-83,1240389
-382,-37,-80,1240390
-385,-44,-78,1240391
-380,-44,-81,1240394
-382,-40,-82,1240395
-382,-52,-86,1240395
-385,-59,-86,1240397
-385,-39,-81,1240397
-385,-32,-72,1240398
-383,-35,-70,1240399
-387,-26,-70,1240400
-388,-20,-83,1240401
-387,-29,-91,1240402
-379,-27,-83,1240405
-385,-24,-80,1240405
-397,-30,-81,1240407
-391,-31,-90,1240408
-389,-42,-88,1240409
-387,-24,-73,1240409
-384,-26,-69,1240410
-388,-24,-82,1240411
-382,-37,-85,1240412
-382,-31,-89,1240413
-389,-35,-87,1240416
-376,-35,-76,1240416
-383,-57,-80,1240417
-395,-50,-82,1240418
-388,-24,-71,1240419
-382,-29,-75,1240420
-381,-39,-82,1240421
-379,-42,-85,1240422
-382,-54,-78,1240423
-373,-46,-73,1240424
-373,-43,-80,1240427
-381,-54,-80,1240428
-377,-40,-83,1240428
-373,-39,-90,1240429
-372,-32,-70,1240431
-391,-47,-80,1240433
-385,-42,-74,1240433
-383,-51,-74,1240434
-377,-45,-73,1240435
-375,-43,-70,1240436
-381,-40,-81,1240439
-377,-38,-73,1240439
-385,-40,-75,1240440
-383,-23,-74,1240441
-378,-24,-76,1240443
-373,-23,-79,1240444
-377,-23,-81,1240445
-383,-22,-84,1240445
-392,-21,-73,1240446
-386,-17,-72,1240447
-382,-23,-75,1240450
-389,-24,-74,1240451
-391,-14,-69,1240451
-378,-19,-75,1240452
-381,-39,-82,1240453
-387,-35,-74,1240454
-391,-35,-74,1240455
-385,-21,-77,1240456
-382,-32,-80,1240457
-378,-40,-88,1240458
-390,-41,-74,1240461
-385,-51,-69,1240461
-378,-36,-74,1240462
-380,-44,-83,1240463
-373,-46,-86,1240465
-379,-59,-83,1240465
-385,-49,-82,1240466
-379,-51,-84,1240467
-373,-55,-83,1240468
-374,-53,-83,1240469
-378,-50,-79,1240472
-383,-54,-80,1240472
-381,-54,-81,1240473
-384,-65,-81,1240474
-382,-56,-79,1240475
-385,-46,-83,1240477
-383,-42,-85,1240478
-383,-59,-76,1240478
-390,-48,-74,1240479
-392,-39,-77,1240480
-378,-38,-85,1240483
-371,-38,-89,1240483
-374,-46,-83,1240484
-380,-33,-77,1240485
-379,-29,-77,1240487
-389,-32,-72,1240487
-387,-29,-77,1240488
-384,-37,-82,1240489
-383,-17,-87,1240490
-384,-20,-78,1240491
-385,-28,-73,1240494
-383,-23,-72,1240494
-378,-19,-85,1240495
-383,-21,-91,1240497
-381,-13,-90,1240497
-382,-25,-87,1240498
-379,-28,-85,1240499
-389,-41,-76,1240500
-386,-30,-76,1240501
-383,-26,-79,1240502
-386,-42,-77,1240505
-378,-37,-77,1240506
-376,-43,-80,1240507
-373,-45,-84,1240507
-378,-56,-75,1240508
-378,-55,-77,1240509
-371,-63,-89,1240510
-365,-59,-91,1240511
-367,-54,-89,1240512
-376,-39,-82,1240513
-379,-50,-88,1240516
-380,-60,-89,1240516
-385,-53,-81,1240517
-375,-56,-82,1240518
-374,-57,-76,1240519
-373,-56,-74,1240520
-388,-47,-85,1240521
-385,-44,-85,1240522
-383,-35,-75,1240524
-374,-26,-77,1240524
-381,-33,-92,1240527
-392,-44,-86,1240528
-388,-33,-79,1240529
-384,-32,-79,1240529
-381,-19,-88,1240530
-388,-24,-83,1240531
-399,-35,-77,1240532
-393,-23,-76,1240533
-399,-26,-80,1240534
-391,-17,-75,1240535
-384,-26,-84,1240538
-382,-28,-77,1240539
-384,-15,-74,1240539
-387,-26,-80,1240540
-385,-24,-73,1240541
-382,-30,-78,1240542
-382,-20,-70,1240543
-379,-23,-73,1240544
-387,-24,-78,1240545
-383,-20,-85,1240546
-370,-38,-84,1240549
-379,-44,-84,1240549
-382,-35,-79,1240550
