-376,-30,-85,671394
-377,-68,-81,671394
-376,-30,-95,671395
-382,-39,-95,671396
-383,-30,-94,671397
-379,-22,-84,671398
-375,-60,-75,671399
-373,-42,-88,671400
-378,-42,-78,671401
-391,-36,-84,671402
-383,-51,-88,671405
-376,-40,-95,671405
-379,-18,-92,671406
-381,-38,-77,671407
-374,-26,-79,671408
-376,-37,-91,671409
-374,-45,-88,671410
-376,-49,-96,671411
-382,-47,-90,671412
-375,-25,-84,671413
-374,-31,-83,671416
-369,-45,-90,671416
-383,-56,-85,671417
-379,-38,-80,671418
-381,-29,-97,671419
-378,-25,-95,671420
-385,-29,-88,671421
-377,-30,-92,671422
-378,-43,-90,671423
-378,-44,-85,671424
-391,-34,-85,671427
-389,-37,-79,671427
-377,-36,-70,671428
-375,-45,-89,671429
-384,-41,-102,671430
-388,-36,-98,671431
-382,-27,-89,671432
-374,-24,-95,671433
-376,-31,-92,671434
-383,-21,-74,671435
-390,-23,-82,671438
-388,-36,-84,671438
-382,-51,-91,671439
-383,-53,-86,671440
-384,-39,-88,671441
-382,-33,-92,671442
-371,-16,-92,671443
-383,-18,-83,671444
-390,-28,-85,671445
-387,-36,-89,671446
-376,-29,-86,671449
-373,-38,-86,671449
-379,-43,-86,671450
-377,-45,-92,671451
-382,-48,-93,671452
-386,-50,-84,671453
-388,-33,-72,671454
-384,-37,-90,671455
-384,-33,-92,671456
-380,-45,-89,671457
-383,-31,-82,671460
-380,-27,-81,671460
-376,-40,-91,671461
-378,-34,-97,671462
-391,-35,-93,671463
-386,-24,-91,671464
-373,-37,-86,671465
-375,-41,-85,671466
-381,-51,-87,671467
-378,-51,-85,671468
-386,-32,-79,671471
-393,-28,-78,671471
-390,-32,-81,671472
-371,-30,-92,671473
-366,-34,-91,671474
-370,-39,-88,671475
-388,-47,-87,671476
-382,-42,-86,671477
-379,-52,-91,671478
-378,-38,-93,671479
-383,-32,-89,671482
-377,-47,-96,671482
-378,-36,-87,671483
-384,-39,-82,671484
-383,-43,-88,671485
-374,-37,-97,671486
-384,-46,-81,671487
-387,-57,-85,671488
-384,-49,-90,671489
-369,-56,-84,671490
-375,-20,-92,671493
-380,-50,-91,671493
-380,-31,-90,671494
-390,-52,-89,671495
-390,-35,-93,671496
-388,-36,-88,671497
-378,-42,-88,671498
-377,-43,-97,671499
-374,-50,-83,671500
-386,-53,-84,671501
-384,-42,-97,671504
-380,-19,-86,671504
-378,-24,-80,671505
-376,-44,-89,671506
-375,-48,-94,671507
-379,-52,-82,671508
-373,-36,-91,671509
-376,-43,-91,671510
-369,-41,-85,671511
-373,-37,-75,671512
-399,-65,-100,671515
-399,-41,-90,671515
-393,-49,-81,671516
-379,-31,-87,671517
-379,-43,-86,671518
-384,-54,-85,671519
-383,-53,-96,671520
-381,-38,-96,671521
-372,-28,-85,671522
-373,-36,-76,671523
-380,-37,-83,671526
-381,-50,-83,671526
-375,-38,-90,671527
-381,-46,-97,671528
-385,-41,-86,671529
-385,-36,-92,671530
-381,-42,-85,671531
-373,-47,-89,671532
-380,-40,-89,671533
-375,-22,-86,671534
-374,-34,-72,671537
-384,-49,-85,671537
-382,-42,-84,671538
-373,-49,-79,671539
-372,-37,-82,671540
-379,-41,-87,671541
-375,-30,-82,671542
-375,-36,-85,671543
-381,-34,-84,671544
-384,-46,-84,671545
-374,-53,-93,671548
-371,-44,-91,671548
-376,-37,-80,671549
-382,-34,-82,671550
-385,-52,-86,671551
-385,-53,-90,671552
-380,-35,-91,671553
-376,-29,-87,671554
-367,-27,-81,671555
-367,-41,-88,671556
-382,-55,-87,671559
-379,-53,-83,671559
-374,-55,-87,671560
-378,-31,-86,671561
-384,-40,-86,671562
-389,-36,-85,671563
-382,-36,-98,671564
-367,-31,-96,671565
-363,-29,-84,671566
-380,-33,-78,671567
-388,-41,-95,671570
-375,-25,-92,671570
-373,-38,-85,671571
-375,-48,-84,671572
-379,-40,-97,671573
-372,-34,-88,671574
-382,-43,-78,671575
-393,-28,-80,671576
-391,-38,-92,671577
-380,-35,-95,671578
-385,-51,-96,671581
-390,-51,-92,671581
-386,-53,-98,671582
-384,-58,-90,671583
-386,-38,-76,671584
-375,-43,-79,671585
-371,-40,-89,671586
-372,-45,-101,671587
-376,-35,-106,671588
-381,-35,-97,671589
-372,-36,-81,671592
-370,-27,-76,671592
-369,-38,-84,671593
-363,-40,-91,671594
-382,-53,-86,671595
-385,-27,-91,671596
-381,-22,-87,671597
-381,-31,-73,671598
-386,-34,-76,671599
-377,-47,-84,671600
-368,-37,-85,671603
-369,-37,-90,671603
-385,-33,-94,671604
-378,-29,-86,671605
-382,-38,-79,671606
-379,-43,-83,671607
-380,-53,-89,671608
-375,-48,-90,671609
-380,-53,-88,671610
-386,-37,-76,671611
-384,-32,-92,671614
-382,-40,-97,671614
-383,-46,-92,671615
-371,-40,-95,671616
-381,-38,-99,671617
-384,-48,-90,671618
-378,-49,-80,671619
-368,-41,-79,671620
-368,-35,-77,671621
-382,-23,-82,671622
-389,-38,-90,671625
-384,-43,-87,671625
-371,-38,-85,671626
-375,-47,-82,671627
-370,-43,-86,671628
-376,-43,-79,671629
-373,-29,-86,671630
-378,-51,-92,671631
-373,-38,-89,671632
-370,-41,-89,671633
-375,-29,-80,671636
-381,-35,-86,671636
-380,-37,-90,671637
-366,-40,-88,671638
-376,-50,-83,671639
-390,-43,-85,671640
-392,-53,-83,671641
-377,-48,-90,671642
-376,-43,-85,671643
-376,-31,-96,671644
-391,-25,-95,671647
-385,-42,-95,671647
-370,-34,-92,671648
-374,-32,-92,671649
-385,-23,-90,671650
-381,-44,-78,671651
-379,-54,-81,671652
-385,-28,-83,671653
-370,-8,-90,671654
-375,-49,-100,671655
-387,-20,-77,671658
-376,1,-80,671658
-376,-37,-86,671659
-368,-52,-81,671660
-377,-47,-92,671662
