216,-304,15440,-743,-83,-176,1655755
120,-332,15556,-768,-84,-178,1655757
208,-352,15468,-773,-50,-186,1655758
108,-360,15488,-766,-67,-187,1655760
260,-360,15548,-761,-76,-156,1655761
316,-360,15432,-755,-79,-186,1655762
268,-320,15440,-753,-95,-176,1655764
168,-380,15392,-755,-107,-192,1655765
232,-400,15392,-768,-87,-172,1655767
284,-356,15484,-754,-80,-157,1655768
328,-352,15532,-757,-94,-162,1655769
244,-428,15464,-750,-79,-178,1655771
152,-384,15432,-768,-78,-203,1655772
152,-400,15480,-765,-80,-183,1655774
204,-352,15516,-765,-93,-187,1655775
324,-392,15416,-774,-78,-177,1655777
300,-348,15440,-780,-69,-158,1655778
276,-396,15524,-782,-94,-136,1655779
216,-400,15556,-766,-91,-171,1655781
260,-372,15452,-767,-73,-178,1655782
348,-368,15464,-778,-81,-164,1655784
204,-308,15560,-758,-77,-174,1655785
256,-332,15508,-762,-83,-186,1655786
164,-264,15600,-779,-81,-183,1655788
244,-384,15600,-755,-89,-167,1655789
168,-364,15524,-764,-79,-175,1655791
200,-340,15556,-779,-81,-170,1655792
280,-412,15612,-780,-77,-164,1655794
204,-352,15640,-764,-84,-170,1655795
152,-316,15452,-770,-84,-178,1655796
196,-288,15400,-781,-98,-166,1655798
268,-340,15588,-758,-60,-169,1655799
228,-344,15584,-746,-105,-160,1655801
288,-332,15476,-756,-106,-179,1655802
312,-428,15488,-756,-89,-213,1655803
184,-340,15448,-749,-112,-195,1655805
244,-372,15528,-760,-70,-182,1655806
212,-396,15416,-759,-48,-145,1655808
320,-384,15552,-774,-95,-193,1655809
248,-416,15588,-770,-94,-185,1655810
232,-388,15540,-753,-98,-168,1655812
180,-424,15564,-733,-90,-187,1655813
292,-300,15448,-764,-71,-186,1655815
268,-304,15464,-776,-73,-191,1655816
244,-296,15440,-742,-93,-163,1655817
172,-396,15456,-758,-92,-165,1655819
196,-376,15468,-758,-69,-190,1655820
184,-404,15432,-785,-86,-185,1655822
184,-400,15720,-767,-76,-171,1655823
180,-408,15664,-740,-54,-169,1655824
156,-372,15664,-745,-90,-191,1655826
308,-364,15432,-767,-71,-161,1655827
356,-372,15464,-753,-80,-164,1655829
252,-424,15576,-763,-97,-188,1655830
308,-368,15596,-767,-71,-191,1655831
292,-336,15516,-767,-64,-186,1655833
136,-400,15420,-766,-73,-181,1655834
