560,-352,15548,-755,-83,-168,-15561
496,-340,15576,-761,-108,-182,-15560
492,-284,15464,-768,-78,-183,-15559
600,-332,15444,-768,-88,-186,-15557
652,-344,15476,-769,-88,-175,-15556
596,-264,15408,-772,-88,-177,-15555
628,-268,15436,-786,-70,-177,-15553
604,-252,15572,-785,-5,-142,-15552
484,-336,15696,-764,-76,-164,-15551
676,-332,15664,-765,-96,-179,-15550
616,-396,15456,-786,-92,-164,-15548
588,-388,15628,-773,-95,-158,-15547
568,-428,15608,-752,-72,-154,-15546
580,-284,15628,-773,-88,-167,-15544
628,-416,15388,-759,-93,-171,-15543
704,-396,15376,-764,-76,-171,-15542
656,-428,15488,-766,-76,-172,-15540
580,-444,15360,-751,-95,-184,-15539
440,-392,15536,-757,-73,-187,-15538
536,-328,15464,-790,-86,-170,-15536
600,-316,15488,-793,-90,-160,-15535
656,-344,15564,-780,-101,-163,-15534
616,-340,15624,-779,-117,-171,-15532
596,-372,15748,-764,-87,-186,-15531
552,-312,15680,-770,-94,-188,-15530
596,-364,15624,-753,-117,-173,-15529
620,-396,15676,-756,-85,-152,-15527
552,-340,15492,-780,-83,-168,-15526
652,-300,15336,-764,-100,-171,-15525
692,-240,15440,-782,-57,-172,-15523
564,-380,15564,-786,-91,-156,-15522
560,-364,15584,-780,-85,-160,-15520
648,-420,15584,-784,-92,-161,-15519
628,-288,15512,-758,-85,-151,-15518
616,-356,15440,-777,-65,-160,-15516
584,-348,15484,-773,-67,-171,-15515
604,-304,15324,-729,-89,-172,-15514
592,-388,15336,-755,-78,-175,-15512
568,-380,15368,-756,-69,-174,-15511
640,-252,15488,-746,-60,-167,-15510
656,-264,15480,-771,-72,-157,-15508
556,-324,15400,-770,-68,-164,-15507
492,-280,15528,-753,-73,-176,-15506
584,-324,15512,-772,-92,-169,-15505
616,-360,15508,-771,-76,-173,-15503
580,-388,15348,-743,-87,-148,-15502
600,-388,15476,-740,-94,-169,-15501
592,-348,15496,-779,-62,-179,-15499
592,-340,15424,-771,-94,-173,-15498
552,-356,15396,-771,-77,-161,-15497
564,-376,15468,-787,-76,-187,-15495
596,-324,15468,-767,-55,-201,-15494
584,-400,15452,-753,-65,-169,-15493
544,-348,15444,-766,-89,-157,-15492
584,-360,15428,-769,-70,-164,-15490
584,-360,15640,-762,-67,-158,-15489
596,-356,15540,-744,-83,-157,-15488
472,-432,15592,-784,-97,-143,-15486
588,-404,15456,-780,-84,-177,-15485
632,-384,15520,-769,-81,-168,-15484
620,-408,15464,-781,-76,-171,-15482
568,-364,15612,-769,-77,-161,-15481
568,-384,15544,-763,-68,-173,-15480
616,-340,15720,-755,-86,-177,-15479
